[INFO  ] | xiaohei server start 丰...
[INFO  ] | App::Run() start.
[INFO  ] | _CreateLvm: tid=0x70000df8f000; file=main
[INFO] | xiaohei server start 丰... | [2018-06-23 11:49:15,493 | cpp/main.cpp:34{int main(int, char **)}]
[INFO] | App::Run() start. | [2018-06-23 11:49:15,493 | cpp/app.cpp:23{bool App::Run()}]
[INFO] | _CreateLvm: tid=0x700000d96000; file=main | [2018-06-23 11:49:15,494 | cpp/lvm.cpp:224{int LvmMgr::_CreateLvm(const std::string &)}]
[INFO|2018-06-23 14:51:47,130] xiaohei server start 丰... =>[cpp/main.cpp:34{int main(int, char **)}]
[INFO|2018-06-23 14:51:47,148] App::Run() start. =>[cpp/app.cpp:23{bool App::Run()}]
[INFO|2018-06-23 14:51:47,148] _CreateLvm: tid=0x70000da76000; file=main =>[cpp/lvm.cpp:230{int LvmMgr::_CreateLvm(const std::string &)}]
[INFO|2018-06-23 14:52:01,364] onConnection:1; ws=0x100b02a40 =>[cpp/net.cpp:85{auto NET::ws_work()::(anonymous class)::operator()(uWS::WebSocket<uWS::SERVER> *, uWS::HttpRequest) const}]
[INFO|2018-06-23 14:52:01,364] _PostMsg msg:1;cmd=140;msg=;len=0 =>[cpp/lvm.cpp:327{void LvmMgr::_PostMsg(LVM_MSG *)}]
[INFO|2018-06-23 14:52:06,331] onMessage:0x100b02a40 =>[cpp/net.cpp:89{auto NET::ws_work()::(anonymous class)::operator()(uWS::WebSocket<uWS::SERVER> *, char *, size_t, uWS::OpCode) const}]
[INFO|2018-06-23 14:52:06,331] onMessage:1; ws=0x100b02a40;len=3; msg=fds =>[cpp/net.cpp:99{auto NET::ws_work()::(anonymous class)::operator()(uWS::WebSocket<uWS::SERVER> *, char *, size_t, uWS::OpCode) const}]
[INFO|2018-06-23 14:52:06,331] _PostMsg msg:1;cmd=130;msg=fds;len=3 =>[cpp/lvm.cpp:327{void LvmMgr::_PostMsg(LVM_MSG *)}]
[INFO|2018-06-23 14:52:06,331] luaInterface:0x70000da76000 =>[cpp/lvm.cpp:13{int luaInterface(lua_State *)}]
[INFO|2018-06-23 14:56:30,480] xiaohei server start 丰... =>[cpp/main.cpp:34{int main(int, char **)}]
[INFO|2018-06-23 14:56:30,480] App::Run() start. =>[cpp/app.cpp:23{bool App::Run()}]
